title,company,price,year,km_driven,fuel_type,transmission,city,link
Tata Zest (2017),Tata,290000.0,2017,65000.0,Petrol,Manual,"Urban Estate, Patiala",https://www.olx.in/item/cars-c84-used-tata-zest-in-urban-estate-patiala-iid-1845892225
Nissan Sunny (2013),Nissan,228000.0,2013,95000.0,Petrol,Automatic,"Deccan, Pune",https://www.olx.in/item/cars-c84-used-nissan-sunny-in-deccan-pune-iid-1841547081
Land Rover Range Rover Sport (2020),Land Rover,5700000.0,2020,65000.0,Petrol,Automatic,"IMT Rohtak, Rohtak",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-imt-rohtak-rohtak-iid-1843835033
Mahindra Scorpio (2020),Mahindra,1390000.0,2020,85000.0,Diesel,Automatic,Sector,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-in-sector-68-mohali-iid-1846991744
Mahindra Scorpio (2016),Mahindra,950000.0,2016,84000.0,Diesel,Manual,"Patiala Vision Enclave, Patiala",https://www.olx.in/item/cars-c84-used-mahindra-scorpio-in-patiala-vision-enclave-patiala-iid-1846325314
Toyota Fortuner (2017),Toyota,2050000.0,2017,65000.0,Diesel,Automatic,Kumbra,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-kumbra-6-part-mohali-iid-1841733195
Hyundai Grand I10 (2015),Hyundai,335000.0,2015,52000.0,Petrol,Automatic,"Purvi Patel Nagar, Dehradun",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-purvi-patel-nagar-dehradun-iid-1833498726
Land Rover Range Rover Velar (2024),Land Rover,8600000.0,2024,13000.0,Petrol,Automatic,"Pramuj Swami Kutir, Vadodara",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-velar-in-pramuj-swami-kutir-vadodara-iid-1835275599
Bmw X7 (2023),BMW,7600000.0,2023,39387.0,Petrol,Automatic,"Civil Lines, Raipur",https://www.olx.in/item/cars-c84-used-bmw-x7-in-civil-lines-raipur-iid-1845794152
Land Rover Range Rover Sport (2021),Land Rover,6400000.0,2021,50000.0,Petrol,Automatic,"Golf Course Road, Gurgaon",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-golf-course-road-gurgaon-iid-1844657844
Porsche Macan (2024),Porsche,7900000.0,2024,10000.0,Petrol,Automatic,"Vadsar Viswamitri Road, Vadodara",https://www.olx.in/item/cars-c84-used-porsche-macan-in-vadsar-viswamitri-road-vadodara-iid-1843053427
Hyundai Venue N Line (2023),Hyundai,1100000.0,2023,21000.0,Petrol,Automatic,"Hadapsar, Pune",https://www.olx.in/item/cars-c84-used-hyundai-venue-n-line-in-hadapsar-pune-iid-1843834168
Hyundai Santro (2005),Hyundai,125000.0,2005,190000.0,Petrol,Manual,"Viraganur, Madurai",https://www.olx.in/item/cars-c84-used-hyundai-santro-in-viraganur-madurai-iid-1841735318
Maruti Suzuki Wagon R (2005),Maruti Suzuki,120000.0,2005,150000.0,Petrol,Manual,"Yeswanthpur, Bengaluru",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-yeswanthpur-bengaluru-iid-1846521911
Maruti Suzuki Eeco (2024),Maruti Suzuki,451000.0,2024,8052.0,Petrol,Manual,"Kankarbagh, Patna",https://www.olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-kankarbagh-patna-iid-1846695031
Honda Wr-V (2018),Honda,580000.0,2018,70000.0,Petrol,Manual,"Ayali Real Estate Area, Ludhiana",https://www.olx.in/item/cars-c84-used-honda-wrv-in-ayali-real-estate-area-ludhiana-iid-1844903002
Hyundai Grand I10 (2015),Hyundai,375000.0,2015,48000.0,Petrol,Automatic,"New Minal Residency, Bhopal",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-new-minal-residency-bhopal-iid-1844429628
Toyota Fortuner (2013),Toyota,1075000.0,2013,172000.0,Diesel,Automatic,"Swargate, Pune",https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-swargate-pune-iid-1846193315
Ford Ecosport (2016),Ford,461896.0,2016,100000.0,Petrol,Automatic,"Peelamedu, Coimbatore",https://www.olx.in/item/cars-c84-used-ford-ecosport-in-peelamedu-coimbatore-iid-1842147591
Maruti Suzuki Baleno (2023),Maruti Suzuki,600000.0,2023,131000.0,Petrol,Automatic,"Suchitra Road, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-suchitra-road-hyderabad-iid-1845795801
Toyota Fortuner (2026),Toyota,3750000.0,2026,7850.0,Petrol,Automatic,"Chirag Delhi, Delhi",https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-chirag-delhi-delhi-iid-1845796475
Maruti Suzuki Jimny (2023),Maruti Suzuki,1050000.0,2023,20000.0,Petrol,Automatic,Sector,https://www.olx.in/item/cars-c84-used-maruti-suzuki-jimny-in-sector-37c-gurgaon-iid-1845824506
Maruti Suzuki Swift Dzire Tour (2018),Maruti Suzuki,450000.0,2018,97000.0,Diesel,Manual,"Anna Mohalla, Jabalpur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-tour-in-anna-mohalla-jabalpur-iid-1843000099
Tata Nano (2017),Tata,195000.0,2017,55000.0,Petrol,Automatic,"Pallavaram, Chennai",https://www.olx.in/item/cars-c84-used-tata-nano-in-pallavaram-chennai-iid-1846796419
Hyundai Creta (2016),Hyundai,510000.0,2016,71000.0,Petrol,Manual,"Netaji Subhash Place, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-netaji-subhash-place-delhi-iid-1845597209
Hyundai Grand I10 (2017),Hyundai,275000.0,2017,70893.0,Petrol,Manual,"Khirki Village, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-khirki-village-delhi-iid-1846259808
Maruti Suzuki Eeco (2024),Maruti Suzuki,625001.0,2024,18000.0,Petrol,Automatic,"Vashi, Navi Mumbai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-vashi-navi-mumbai-iid-1846796779
